gene_name	go_id	biological_function
ABRA	GO:0035023; GO:0045944; GO:0051091; GO:1902533	positive regulation of DNA-binding transcription factor activity; positive regulation of intracellular signal transduction; positive regulation of transcription by RNA polymerase II; regulation of Rho protein signal transduction
ABRACL	GO:0032970	regulation of actin filament-based process
ABRAXAS1	GO:0008608; GO:0070536; GO:0090307	attachment of spindle microtubules to kinetochore; mitotic spindle assembly; protein K63-linked deubiquitination
ABRAXAS2	GO:0008608; GO:0070536; GO:0090307	attachment of spindle microtubules to kinetochore; mitotic spindle assembly; protein K63-linked deubiquitination
ABT1	GO:0000447; GO:0022618; GO:0140694	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA); non-membrane-bounded organelle assembly; protein-RNA complex assembly
ACAA1	GO:0006635; GO:0019439; GO:0070887; GO:1901361	aromatic compound catabolic process; cellular response to chemical stimulus; fatty acid beta-oxidation; organic cyclic compound catabolic process
ACAA2	GO:0006635	fatty acid beta-oxidation
ACACA	GO:0006633	fatty acid biosynthetic process
ACACB	GO:0006633	fatty acid biosynthetic process
ACAD10	GO:0006635	fatty acid beta-oxidation
ACAD11	GO:0006635	fatty acid beta-oxidation
ACADL	GO:0006635	fatty acid beta-oxidation
ACADM	GO:0006635	fatty acid beta-oxidation
ACAN	GO:0001501; GO:0007417; GO:0008284; GO:0010001; GO:0045944; GO:0050769	central nervous system development; glial cell differentiation; positive regulation of cell population proliferation; positive regulation of neurogenesis; positive regulation of transcription by RNA polymerase II; skeletal system development
ACAT1	GO:0006635	fatty acid beta-oxidation
ACBD4	GO:0006631	fatty acid metabolic process
ACBD5	GO:0006631	fatty acid metabolic process
ACBD7	GO:0006631	fatty acid metabolic process
ACCS	GO:0006520	amino acid metabolic process
ACCSL	GO:0006520	amino acid metabolic process
ACE	GO:0003073	regulation of systemic arterial blood pressure
ACER1	GO:0006672; GO:0030148; GO:0030149; GO:0044271; GO:0046165	alcohol biosynthetic process; cellular nitrogen compound biosynthetic process; ceramide metabolic process; sphingolipid biosynthetic process; sphingolipid catabolic process
ACER2	GO:0006672; GO:0030148; GO:0030149; GO:0044271; GO:0046165	alcohol biosynthetic process; cellular nitrogen compound biosynthetic process; ceramide metabolic process; sphingolipid biosynthetic process; sphingolipid catabolic process
ACIN1	GO:0008380	RNA splicing
ACKR2	GO:0006955; GO:0007204; GO:0019722; GO:0060326	calcium-mediated signaling; cell chemotaxis; immune response; positive regulation of cytosolic calcium ion concentration
ACKR3	GO:0006955; GO:0007204; GO:0019722; GO:0060326	calcium-mediated signaling; cell chemotaxis; immune response; positive regulation of cytosolic calcium ion concentration
ACKR4	GO:0006955; GO:0007204; GO:0019722; GO:0060326	calcium-mediated signaling; cell chemotaxis; immune response; positive regulation of cytosolic calcium ion concentration
ACLY	GO:0006633; GO:0006637; GO:0009152; GO:0043604	acyl-CoA metabolic process; amide biosynthetic process; fatty acid biosynthetic process; purine ribonucleotide biosynthetic process
ACMSD	GO:0019748	secondary metabolic process
ACO1	GO:0006099; GO:0019752	carboxylic acid metabolic process; tricarboxylic acid cycle
ACO2	GO:0006099	tricarboxylic acid cycle
ACOD1	GO:0006952	defense response
ACOT1	GO:0006631; GO:0006637	acyl-CoA metabolic process; fatty acid metabolic process
ACOT11	GO:0006637	acyl-CoA metabolic process
ACOT12	GO:0006637	acyl-CoA metabolic process
ACOT2	GO:0006631; GO:0006637	acyl-CoA metabolic process; fatty acid metabolic process
ACOT4	GO:0006631; GO:0006637	acyl-CoA metabolic process; fatty acid metabolic process
ACOT6	GO:0006631; GO:0006637	acyl-CoA metabolic process; fatty acid metabolic process
ACOT7	GO:0006637; GO:0009062	acyl-CoA metabolic process; fatty acid catabolic process
ACOT7L	GO:0006637; GO:0009062	acyl-CoA metabolic process; fatty acid catabolic process
ACOT8	GO:0006637; GO:0009062	acyl-CoA metabolic process; fatty acid catabolic process
ACOT9	GO:0006637	acyl-CoA metabolic process
ACOX1	GO:0006635; GO:0055088	fatty acid beta-oxidation; lipid homeostasis
ACOX2	GO:0006635; GO:0055088	fatty acid beta-oxidation; lipid homeostasis
ACOX3	GO:0006635; GO:0055088	fatty acid beta-oxidation; lipid homeostasis
ACOXL	GO:0006635; GO:0055088	fatty acid beta-oxidation; lipid homeostasis
ACP2	GO:0007040; GO:0016311	dephosphorylation; lysosome organization
ACP3	GO:0016311	dephosphorylation
