Gene Name,GO IDs,Biological Functions
ABCA1,"GO:0007040, GO:0007186, GO:0007189, GO:0007584, GO:0008203, GO:0009306, GO:0009306, GO:0009306, GO:0009410, GO:0010745, GO:0010875, GO:0010887, GO:0015850, GO:0015914, GO:0016197, GO:0023061, GO:0023061, GO:0023061, GO:0030301, GO:0031667, GO:0032367, GO:0032489, GO:0033344, GO:0033344, GO:0033344, GO:0033552, GO:0033700, GO:0033700, GO:0033700, GO:0033700, GO:0034380, GO:0034616, GO:0038027, GO:0042158, GO:0042632, GO:0042632, GO:0043691, GO:0043691, GO:0045332, GO:0045332, GO:0055085, GO:0055091, GO:0060155, GO:0071222, GO:0071300, GO:0071345, GO:0071397, GO:0071404, GO:0071466, GO:0071806, GO:0071806, GO:0090107, GO:0090108, GO:0090108, GO:0099039, GO:0140115, GO:0140115","lysosome organization, G protein-coupled receptor signaling pathway, adenylate cyclase-activating G protein-coupled receptor signaling pathway, response to nutrient, cholesterol metabolic process, protein secretion, protein secretion, protein secretion, response to xenobiotic stimulus, negative regulation of macrophage derived foam cell differentiation, positive regulation of cholesterol efflux, negative regulation of cholesterol storage, organic hydroxy compound transport, phospholipid transport, endosomal transport, signal release, signal release, signal release, cholesterol transport, response to nutrient levels, intracellular cholesterol transport, regulation of Cdc42 protein signal transduction, cholesterol efflux, cholesterol efflux, cholesterol efflux, response to vitamin B3, phospholipid efflux, phospholipid efflux, phospholipid efflux, phospholipid efflux, high-density lipoprotein particle assembly, response to laminar fluid shear stress, apolipoprotein A-I-mediated signaling pathway, lipoprotein biosynthetic process, cholesterol homeostasis, cholesterol homeostasis, reverse cholesterol transport, reverse cholesterol transport, phospholipid translocation, phospholipid translocation, transmembrane transport, phospholipid homeostasis, platelet dense granule organization, cellular response to lipopolysaccharide, cellular response to retinoic acid, cellular response to cytokine stimulus, cellular response to cholesterol, cellular response to low-density lipoprotein particle stimulus, cellular response to xenobiotic stimulus, protein transmembrane transport, protein transmembrane transport, regulation of high-density lipoprotein particle assembly, positive regulation of high-density lipoprotein particle assembly, positive regulation of high-density lipoprotein particle assembly, sphingolipid translocation, export across plasma membrane, export across plasma membrane"
ABCA10,"GO:0006869, GO:0006869, GO:0055085","lipid transport, lipid transport, transmembrane transport"
ABCA12,"GO:0003336, GO:0003336, GO:0003336, GO:0006672, GO:0006672, GO:0006672, GO:0006869, GO:0006869, GO:0006869, GO:0006869, GO:0006869, GO:0006886, GO:0010875, GO:0019725, GO:0032376, GO:0032379, GO:0032379, GO:0032940, GO:0033700, GO:0034204, GO:0035627, GO:0035627, GO:0035627, GO:0043589, GO:0045055, GO:0045616, GO:0045616, GO:0045616, GO:0055085, GO:0061178, GO:0061178, GO:0061436, GO:0072659, GO:0072659","corneocyte desquamation, corneocyte desquamation, corneocyte desquamation, ceramide metabolic process, ceramide metabolic process, ceramide metabolic process, lipid transport, lipid transport, lipid transport, lipid transport, lipid transport, intracellular protein transport, positive regulation of cholesterol efflux, cellular homeostasis, positive regulation of cholesterol transport, positive regulation of intracellular lipid transport, positive regulation of intracellular lipid transport, secretion by cell, phospholipid efflux, lipid translocation, ceramide transport, ceramide transport, ceramide transport, skin morphogenesis, regulated exocytosis, regulation of keratinocyte differentiation, regulation of keratinocyte differentiation, regulation of keratinocyte differentiation, transmembrane transport, regulation of insulin secretion involved in cellular response to glucose stimulus, regulation of insulin secretion involved in cellular response to glucose stimulus, establishment of skin barrier, protein localization to plasma membrane, protein localization to plasma membrane"
ABCA13,"GO:0006869, GO:0032376, GO:0032376, GO:0035627, GO:0055085, GO:1900244","lipid transport, positive regulation of cholesterol transport, positive regulation of cholesterol transport, ceramide transport, transmembrane transport, positive regulation of synaptic vesicle endocytosis"
ABCA2,"GO:0001573, GO:0006629, GO:0006684, GO:0006687, GO:0006869, GO:0007626, GO:0009410, GO:0019218, GO:0032289, GO:0032289, GO:0032383, GO:0032383, GO:0032384, GO:0032805, GO:0042632, GO:0042986, GO:0045540, GO:0045939, GO:0046512, GO:0048545, GO:0051247, GO:0055085, GO:0055085, GO:0070723, GO:0071072, GO:0090155, GO:0090156, GO:0090370, GO:0099040, GO:0150104, GO:1901873, GO:1902004, GO:1902004, GO:1902993, GO:1902993, GO:1904375, GO:1905601, GO:2000008","ganglioside metabolic process, lipid metabolic process, sphingomyelin metabolic process, glycosphingolipid metabolic process, lipid transport, locomotory behavior, response to xenobiotic stimulus, regulation of steroid metabolic process, central nervous system myelin formation, central nervous system myelin formation, regulation of intracellular cholesterol transport, regulation of intracellular cholesterol transport, negative regulation of intracellular cholesterol transport, positive regulation of low-density lipoprotein particle receptor catabolic process, cholesterol homeostasis, positive regulation of amyloid precursor protein biosynthetic process, regulation of cholesterol biosynthetic process, negative regulation of steroid metabolic process, sphingosine biosynthetic process, response to steroid hormone, positive regulation of protein metabolic process, transmembrane transport, transmembrane transport, response to cholesterol, negative regulation of phospholipid biosynthetic process, negative regulation of sphingolipid biosynthetic process, intracellular sphingolipid homeostasis, negative regulation of cholesterol efflux, ceramide translocation, transport across blood-brain barrier, regulation of post-translational protein modification, positive regulation of amyloid-beta formation, positive regulation of amyloid-beta formation, positive regulation of amyloid precursor protein catabolic process, positive regulation of amyloid precursor protein catabolic process, regulation of protein localization to cell periphery, negative regulation of receptor-mediated endocytosis involved in cholesterol transport, regulation of protein localization to cell surface"
ABCA3,"GO:0006855, GO:0006869, GO:0006869, GO:0006869, GO:0009410, GO:0010875, GO:0015914, GO:0030324, GO:0030324, GO:0031340, GO:0032368, GO:0032464, GO:0034204, GO:0042908, GO:0043129, GO:0043129, GO:0046470, GO:0046470, GO:0046470, GO:0046471, GO:0046471, GO:0046618, GO:0046890, GO:0051384, GO:0055085, GO:0055091, GO:0070925, GO:0150172, GO:1902995, GO:2001140","xenobiotic transmembrane transport, lipid transport, lipid transport, lipid transport, response to xenobiotic stimulus, positive regulation of cholesterol efflux, phospholipid transport, lung development, lung development, positive regulation of vesicle fusion, regulation of lipid transport, positive regulation of protein homooligomerization, lipid translocation, xenobiotic transport, surfactant homeostasis, surfactant homeostasis, phosphatidylcholine metabolic process, phosphatidylcholine metabolic process, phosphatidylcholine metabolic process, phosphatidylglycerol metabolic process, phosphatidylglycerol metabolic process, xenobiotic export from cell, regulation of lipid biosynthetic process, response to glucocorticoid, transmembrane transport, phospholipid homeostasis, organelle assembly, regulation of phosphatidylcholine metabolic process, positive regulation of phospholipid efflux, positive regulation of phospholipid transport"
ABCA4,"GO:0001523, GO:0001523, GO:0006869, GO:0006869, GO:0007601, GO:0007601, GO:0007603, GO:0015850, GO:0034633, GO:0042574, GO:0042574, GO:0045332, GO:0045332, GO:0055085, GO:0055085","retinoid metabolic process, retinoid metabolic process, lipid transport, lipid transport, visual perception, visual perception, phototransduction, visible light, organic hydroxy compound transport, retinol transport, retinal metabolic process, retinal metabolic process, phospholipid translocation, phospholipid translocation, transmembrane transport, transmembrane transport"
ABCA5,"GO:0006869, GO:0006869, GO:0008203, GO:0010745, GO:0010745, GO:0010874, GO:0010874, GO:0010874, GO:0033344, GO:0033344, GO:0034375, GO:0034375, GO:0042632, GO:0043691, GO:0043691, GO:0055085, GO:1903064, GO:1903064","lipid transport, lipid transport, cholesterol metabolic process, negative regulation of macrophage derived foam cell differentiation, negative regulation of macrophage derived foam cell differentiation, regulation of cholesterol efflux, regulation of cholesterol efflux, regulation of cholesterol efflux, cholesterol efflux, cholesterol efflux, high-density lipoprotein particle remodeling, high-density lipoprotein particle remodeling, cholesterol homeostasis, reverse cholesterol transport, reverse cholesterol transport, transmembrane transport, positive regulation of reverse cholesterol transport, positive regulation of reverse cholesterol transport"
ABCA6,"GO:0006869, GO:0055085","lipid transport, transmembrane transport"
ABCA7,"GO:0006869, GO:0007613, GO:0008542, GO:0010875, GO:0019216, GO:0033344, GO:0033344, GO:0033344, GO:0033344, GO:0033700, GO:0033700, GO:0033700, GO:0033700, GO:0034205, GO:0034205, GO:0034380, GO:0034504, GO:0038027, GO:0042985, GO:0043409, GO:0044857, GO:0045332, GO:0045806, GO:0050766, GO:0055085, GO:0070374, GO:0150094, GO:1900223, GO:1901076, GO:1902430, GO:1902991, GO:1902991, GO:1902995, GO:1903898, GO:2000010","lipid transport, memory, visual learning, positive regulation of cholesterol efflux, regulation of lipid metabolic process, cholesterol efflux, cholesterol efflux, cholesterol efflux, cholesterol efflux, phospholipid efflux, phospholipid efflux, phospholipid efflux, phospholipid efflux, amyloid-beta formation, amyloid-beta formation, high-density lipoprotein particle assembly, protein localization to nucleus, apolipoprotein A-I-mediated signaling pathway, negative regulation of amyloid precursor protein biosynthetic process, negative regulation of MAPK cascade, plasma membrane raft organization, phospholipid translocation, negative regulation of endocytosis, positive regulation of phagocytosis, transmembrane transport, positive regulation of ERK1 and ERK2 cascade, amyloid-beta clearance by cellular catabolic process, positive regulation of amyloid-beta clearance, positive regulation of engulfment of apoptotic cell, negative regulation of amyloid-beta formation, regulation of amyloid precursor protein catabolic process, regulation of amyloid precursor protein catabolic process, positive regulation of phospholipid efflux, negative regulation of PERK-mediated unfolded protein response, positive regulation of protein localization to cell surface"
