Gene Name,GO IDs,Biological Functions
ANXA7,"GO:0006914, GO:0010629, GO:0030855, GO:0051592, GO:0061025, GO:1904627","autophagy, negative regulation of gene expression, epithelial cell differentiation, response to calcium ion, membrane fusion, response to phorbol 13-acetate 12-myristate"
ANXA8,"GO:0007032, GO:0007032, GO:0016197, GO:0016197","endosome organization, endosome organization, endosomal transport, endosomal transport"
ANXA8L1,"GO:0007032, GO:0016197","endosome organization, endosomal transport"
ANXA9,"GO:0007155, GO:0007271, GO:0098609","cell adhesion, synaptic transmission, cholinergic, cell-cell adhesion"
AOAH,"GO:0006631, GO:0009104, GO:0009104, GO:0050728","fatty acid metabolic process, lipopolysaccharide catabolic process, lipopolysaccharide catabolic process, negative regulation of inflammatory response"
AOC1,"GO:0009308, GO:0009445, GO:0009445","amine metabolic process, putrescine metabolic process, putrescine metabolic process"
AOC2,"GO:0006805, GO:0007601, GO:0009308, GO:0009308","xenobiotic metabolic process, visual perception, amine metabolic process, amine metabolic process"
AOC3,"GO:0006954, GO:0006954, GO:0007155, GO:0009308, GO:0009308, GO:0009308","inflammatory response, inflammatory response, cell adhesion, amine metabolic process, amine metabolic process, amine metabolic process"
AOPEP,None Found,None Found
AOX1,GO:0006805,xenobiotic metabolic process
AP1AR,"GO:0001920, GO:0006895, GO:0006895, GO:0034315, GO:1900025, GO:1900025, GO:2000146","negative regulation of receptor recycling, Golgi to endosome transport, Golgi to endosome transport, regulation of Arp2/3 complex-mediated actin nucleation, negative regulation of substrate adhesion-dependent cell spreading, negative regulation of substrate adhesion-dependent cell spreading, negative regulation of cell motility"
AP1B1,"GO:0006886, GO:0006898, GO:0015031, GO:0016192, GO:0016192, GO:0060155, GO:0110010, GO:1903232","intracellular protein transport, receptor-mediated endocytosis, protein transport, vesicle-mediated transport, vesicle-mediated transport, platelet dense granule organization, basolateral protein secretion, melanosome assembly"
AP1G1,"GO:0006886, GO:0016182, GO:0016192, GO:0016192, GO:0032438, GO:0035646, GO:0043323, GO:0045954, GO:0048488, GO:0060155, GO:0090160, GO:0110010, GO:1903232","intracellular protein transport, synaptic vesicle budding from endosome, vesicle-mediated transport, vesicle-mediated transport, melanosome organization, endosome to melanosome transport, positive regulation of natural killer cell degranulation, positive regulation of natural killer cell mediated cytotoxicity, synaptic vesicle endocytosis, platelet dense granule organization, Golgi to lysosome transport, basolateral protein secretion, melanosome assembly"
AP1G2,"GO:0006886, GO:0016192, GO:0016192","intracellular protein transport, vesicle-mediated transport, vesicle-mediated transport"
AP1M1,"GO:0006886, GO:0006896, GO:0016192, GO:0016192, GO:0032438, GO:0035646, GO:0060155, GO:1903232","intracellular protein transport, Golgi to vacuole transport, vesicle-mediated transport, vesicle-mediated transport, melanosome organization, endosome to melanosome transport, platelet dense granule organization, melanosome assembly"
AP1M2,"GO:0006886, GO:0006896, GO:0016192, GO:0016192, GO:0016192, GO:0045184, GO:0051649, GO:0110010","intracellular protein transport, Golgi to vacuole transport, vesicle-mediated transport, vesicle-mediated transport, vesicle-mediated transport, establishment of protein localization, establishment of localization in cell, basolateral protein secretion"
AP1S1,"GO:0006886, GO:0006898, GO:0009615, GO:0015031, GO:0016192, GO:0016192, GO:0016192, GO:0060155, GO:0110010, GO:1903232","intracellular protein transport, receptor-mediated endocytosis, response to virus, protein transport, vesicle-mediated transport, vesicle-mediated transport, vesicle-mediated transport, platelet dense granule organization, basolateral protein secretion, melanosome assembly"
AP1S2,"GO:0006886, GO:0015031, GO:0016192, GO:0016192, GO:0016192, GO:0060155, GO:1903232","intracellular protein transport, protein transport, vesicle-mediated transport, vesicle-mediated transport, vesicle-mediated transport, platelet dense granule organization, melanosome assembly"
AP1S3,"GO:0006605, GO:0006886, GO:0015031, GO:0016192, GO:0016192, GO:0016192, GO:0060155, GO:1903232","protein targeting, intracellular protein transport, protein transport, vesicle-mediated transport, vesicle-mediated transport, vesicle-mediated transport, platelet dense granule organization, melanosome assembly"
AP2A1,"GO:0006886, GO:0006886, GO:0006895, GO:0006897, GO:0015031, GO:0016192, GO:0016192, GO:0048488, GO:0072583, GO:0072583, GO:0072583, GO:0072583, GO:0072583, GO:0072583, GO:0098884, GO:1900126, GO:1900126","intracellular protein transport, intracellular protein transport, Golgi to endosome transport, endocytosis, protein transport, vesicle-mediated transport, vesicle-mediated transport, synaptic vesicle endocytosis, clathrin-dependent endocytosis, clathrin-dependent endocytosis, clathrin-dependent endocytosis, clathrin-dependent endocytosis, clathrin-dependent endocytosis, clathrin-dependent endocytosis, postsynaptic neurotransmitter receptor internalization, negative regulation of hyaluronan biosynthetic process, negative regulation of hyaluronan biosynthetic process"
AP2A2,"GO:0006886, GO:0015031, GO:0016192, GO:0016192, GO:0048488, GO:0072583, GO:0072583, GO:0072583, GO:0072583, GO:0072583, GO:0072583, GO:0098884","intracellular protein transport, protein transport, vesicle-mediated transport, vesicle-mediated transport, synaptic vesicle endocytosis, clathrin-dependent endocytosis, clathrin-dependent endocytosis, clathrin-dependent endocytosis, clathrin-dependent endocytosis, clathrin-dependent endocytosis, clathrin-dependent endocytosis, postsynaptic neurotransmitter receptor internalization"
AP2B1,"GO:0006886, GO:0007268, GO:0007269, GO:0015031, GO:0016192, GO:0016192, GO:0045807, GO:0048268, GO:0048488, GO:0048488, GO:0048488, GO:0072583, GO:0072583, GO:0072583, GO:0072583, GO:0072583, GO:0098884, GO:0098884, GO:1905477","intracellular protein transport, chemical synaptic transmission, neurotransmitter secretion, protein transport, vesicle-mediated transport, vesicle-mediated transport, positive regulation of endocytosis, clathrin coat assembly, synaptic vesicle endocytosis, synaptic vesicle endocytosis, synaptic vesicle endocytosis, clathrin-dependent endocytosis, clathrin-dependent endocytosis, clathrin-dependent endocytosis, clathrin-dependent endocytosis, clathrin-dependent endocytosis, postsynaptic neurotransmitter receptor internalization, postsynaptic neurotransmitter receptor internalization, positive regulation of protein localization to membrane"
AP2M1,"GO:0002092, GO:0006886, GO:0006896, GO:0006900, GO:0016192, GO:0016192, GO:0031623, GO:0031623, GO:0048488, GO:0048488, GO:0048488, GO:0048488, GO:0065003, GO:0065003, GO:0072583, GO:0072583, GO:0072583, GO:0072583, GO:0097494, GO:0098884, GO:0098884, GO:0098884, GO:0099003, GO:1900244, GO:1903077","positive regulation of receptor internalization, intracellular protein transport, Golgi to vacuole transport, vesicle budding from membrane, vesicle-mediated transport, vesicle-mediated transport, receptor internalization, receptor internalization, synaptic vesicle endocytosis, synaptic vesicle endocytosis, synaptic vesicle endocytosis, synaptic vesicle endocytosis, protein-containing complex assembly, protein-containing complex assembly, clathrin-dependent endocytosis, clathrin-dependent endocytosis, clathrin-dependent endocytosis, clathrin-dependent endocytosis, regulation of vesicle size, postsynaptic neurotransmitter receptor internalization, postsynaptic neurotransmitter receptor internalization, postsynaptic neurotransmitter receptor internalization, vesicle-mediated transport in synapse, positive regulation of synaptic vesicle endocytosis, negative regulation of protein localization to plasma membrane"
AP2S1,"GO:0006886, GO:0015031, GO:0016192, GO:0016192, GO:0016192, GO:0030100, GO:0048268, GO:0048488, GO:0048488, GO:0048488, GO:0072583, GO:0072583, GO:0072583, GO:0098884","intracellular protein transport, protein transport, vesicle-mediated transport, vesicle-mediated transport, vesicle-mediated transport, regulation of endocytosis, clathrin coat assembly, synaptic vesicle endocytosis, synaptic vesicle endocytosis, synaptic vesicle endocytosis, clathrin-dependent endocytosis, clathrin-dependent endocytosis, clathrin-dependent endocytosis, postsynaptic neurotransmitter receptor internalization"
AP3B1,"GO:0002495, GO:0006886, GO:0006886, GO:0008089, GO:0008089, GO:0010467, GO:0016192, GO:0016192, GO:0032438, GO:0032438, GO:0034142, GO:0035654, GO:0035711, GO:0043372, GO:0048490, GO:0048490, GO:0048490, GO:0060155, GO:0072657, GO:0072659, GO:0140459, GO:1903232, GO:1905161","antigen processing and presentation of peptide antigen via MHC class II, intracellular protein transport, intracellular protein transport, anterograde axonal transport, anterograde axonal transport, gene expression, vesicle-mediated transport, vesicle-mediated transport, melanosome organization, melanosome organization, toll-like receptor 4 signaling pathway, clathrin-coated vesicle cargo loading, AP-3-mediated, T-helper 1 cell activation, positive regulation of CD4-positive, alpha-beta T cell differentiation, anterograde synaptic vesicle transport, anterograde synaptic vesicle transport, anterograde synaptic vesicle transport, platelet dense granule organization, protein localization to membrane, protein localization to plasma membrane, response to Gram-positive bacterium, melanosome assembly, protein localization to phagocytic vesicle"
AP3B2,"GO:0006886, GO:0006897, GO:0008089, GO:0008089, GO:0016183, GO:0016192, GO:0035654, GO:0036465, GO:0048488, GO:0048490, GO:0048490, GO:0048490","intracellular protein transport, endocytosis, anterograde axonal transport, anterograde axonal transport, synaptic vesicle coating, vesicle-mediated transport, clathrin-coated vesicle cargo loading, AP-3-mediated, synaptic vesicle recycling, synaptic vesicle endocytosis, anterograde synaptic vesicle transport, anterograde synaptic vesicle transport, anterograde synaptic vesicle transport"
AP3D1,"GO:0006623, GO:0006886, GO:0006886, GO:0006896, GO:0006901, GO:0007041, GO:0008089, GO:0008089, GO:0010496, GO:0015031, GO:0016050, GO:0016182, GO:0016182, GO:0016183, GO:0016192, GO:0016192, GO:0032438, GO:0035646, GO:0035654, GO:0036465, GO:0048490, GO:0048490, GO:0048490, GO:0048499, GO:0048840, GO:0060155, GO:0072657, GO:0072657, GO:0098943, GO:0098943, GO:0140916, GO:1903232","protein targeting to vacuole, intracellular protein transport, intracellular protein transport, Golgi to vacuole transport, vesicle coat assembly, lysosomal transport, anterograde axonal transport, anterograde axonal transport, intercellular transport, protein transport, vesicle organization, synaptic vesicle budding from endosome, synaptic vesicle budding from endosome, synaptic vesicle coating, vesicle-mediated transport, vesicle-mediated transport, melanosome organization, endosome to melanosome transport, clathrin-coated vesicle cargo loading, AP-3-mediated, synaptic vesicle recycling, anterograde synaptic vesicle transport, anterograde synaptic vesicle transport, anterograde synaptic vesicle transport, synaptic vesicle membrane organization, otolith development, platelet dense granule organization, protein localization to membrane, protein localization to membrane, neurotransmitter receptor transport, postsynaptic endosome to lysosome, neurotransmitter receptor transport, postsynaptic endosome to lysosome, zinc ion import into lysosome, melanosome assembly"
AP3M1,"GO:0006622, GO:0006886, GO:0006896, GO:0008089, GO:0008089, GO:0016192, GO:0016192, GO:0035654, GO:0048490, GO:0048490, GO:0060155, GO:0098884, GO:0098884, GO:1903232","protein targeting to lysosome, intracellular protein transport, Golgi to vacuole transport, anterograde axonal transport, anterograde axonal transport, vesicle-mediated transport, vesicle-mediated transport, clathrin-coated vesicle cargo loading, AP-3-mediated, anterograde synaptic vesicle transport, anterograde synaptic vesicle transport, platelet dense granule organization, postsynaptic neurotransmitter receptor internalization, postsynaptic neurotransmitter receptor internalization, melanosome assembly"
AP3M2,"GO:0006886, GO:0006896, GO:0008089, GO:0008089, GO:0016183, GO:0016192, GO:0035654, GO:0036465, GO:0048488, GO:0048490, GO:0048490","intracellular protein transport, Golgi to vacuole transport, anterograde axonal transport, anterograde axonal transport, synaptic vesicle coating, vesicle-mediated transport, clathrin-coated vesicle cargo loading, AP-3-mediated, synaptic vesicle recycling, synaptic vesicle endocytosis, anterograde synaptic vesicle transport, anterograde synaptic vesicle transport"
AP3S1,"GO:0006886, GO:0006896, GO:0008089, GO:0008089, GO:0008286, GO:0015031, GO:0016183, GO:0016192, GO:0016192, GO:0016192, GO:0035654, GO:0036465, GO:0048490, GO:0048490, GO:0060155, GO:1903232","intracellular protein transport, Golgi to vacuole transport, anterograde axonal transport, anterograde axonal transport, insulin receptor signaling pathway, protein transport, synaptic vesicle coating, vesicle-mediated transport, vesicle-mediated transport, vesicle-mediated transport, clathrin-coated vesicle cargo loading, AP-3-mediated, synaptic vesicle recycling, anterograde synaptic vesicle transport, anterograde synaptic vesicle transport, platelet dense granule organization, melanosome assembly"
AP3S2,"GO:0006886, GO:0006896, GO:0008089, GO:0008089, GO:0015031, GO:0016183, GO:0016192, GO:0016192, GO:0016192, GO:0035654, GO:0036465, GO:0048490, GO:0048490, GO:0060155, GO:1903232","intracellular protein transport, Golgi to vacuole transport, anterograde axonal transport, anterograde axonal transport, protein transport, synaptic vesicle coating, vesicle-mediated transport, vesicle-mediated transport, vesicle-mediated transport, clathrin-coated vesicle cargo loading, AP-3-mediated, synaptic vesicle recycling, anterograde synaptic vesicle transport, anterograde synaptic vesicle transport, platelet dense granule organization, melanosome assembly"
AP4B1,"GO:0006605, GO:0006605, GO:0006886, GO:0006897, GO:0008104, GO:0008104, GO:0015031, GO:0016192, GO:0016192, GO:0061938","protein targeting, protein targeting, intracellular protein transport, endocytosis, intracellular protein localization, intracellular protein localization, protein transport, vesicle-mediated transport, vesicle-mediated transport, protein localization to somatodendritic compartment"
AP4E1,"GO:0006605, GO:0006886, GO:0008104, GO:0008104, GO:0015031, GO:0016192, GO:0016192, GO:0045184","protein targeting, intracellular protein transport, intracellular protein localization, intracellular protein localization, protein transport, vesicle-mediated transport, vesicle-mediated transport, establishment of protein localization"
AP4M1,"GO:0000045, GO:0006605, GO:0006605, GO:0006605, GO:0006622, GO:0006886, GO:0006886, GO:0006892, GO:0006895, GO:0008104, GO:0008104, GO:0016192, GO:0016192, GO:0071806, GO:0090160, GO:0090160, GO:1903361","autophagosome assembly, protein targeting, protein targeting, protein targeting, protein targeting to lysosome, intracellular protein transport, intracellular protein transport, post-Golgi vesicle-mediated transport, Golgi to endosome transport, intracellular protein localization, intracellular protein localization, vesicle-mediated transport, vesicle-mediated transport, protein transmembrane transport, Golgi to lysosome transport, Golgi to lysosome transport, protein localization to basolateral plasma membrane"
AP4S1,"GO:0006605, GO:0008104, GO:0015031, GO:0016192, GO:0016192","protein targeting, intracellular protein localization, protein transport, vesicle-mediated transport, vesicle-mediated transport"
AP5B1,"GO:0007040, GO:0016192, GO:0016197, GO:0016197, GO:0016197","lysosome organization, vesicle-mediated transport, endosomal transport, endosomal transport, endosomal transport"
AP5M1,"GO:0007040, GO:0016192, GO:0016197, GO:0016197","lysosome organization, vesicle-mediated transport, endosomal transport, endosomal transport"
AP5S1,"GO:0000724, GO:0000724, GO:0007040, GO:0016192, GO:0016197, GO:0016197, GO:0016197","double-strand break repair via homologous recombination, double-strand break repair via homologous recombination, lysosome organization, vesicle-mediated transport, endosomal transport, endosomal transport, endosomal transport"
AP5Z1,"GO:0000724, GO:0007040, GO:0016192, GO:0016197","double-strand break repair via homologous recombination, lysosome organization, vesicle-mediated transport, endosomal transport"
APAF1,"GO:0001666, GO:0001822, GO:0006915, GO:0006915, GO:0007399, GO:0007584, GO:0010659, GO:0030154, GO:0042981, GO:0042981, GO:0043065, GO:0043065, GO:0048731, GO:0070059, GO:0071560, GO:0072432, GO:0097190, GO:0097193, GO:0097193","response to hypoxia, kidney development, apoptotic process, apoptotic process, nervous system development, response to nutrient, cardiac muscle cell apoptotic process, cell differentiation, regulation of apoptotic process, regulation of apoptotic process, positive regulation of apoptotic process, positive regulation of apoptotic process, system development, intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress, cellular response to transforming growth factor beta stimulus, response to G1 DNA damage checkpoint signaling, apoptotic signaling pathway, intrinsic apoptotic signaling pathway, intrinsic apoptotic signaling pathway"
APBA1,"GO:0006886, GO:0007155, GO:0007268, GO:0007268, GO:0007399, GO:0008088, GO:0015031, GO:0065003","intracellular protein transport, cell adhesion, chemical synaptic transmission, chemical synaptic transmission, nervous system development, axo-dendritic transport, protein transport, protein-containing complex assembly"
APBA2,"GO:0007268, GO:0007399, GO:0099171","chemical synaptic transmission, nervous system development, presynaptic modulation of chemical synaptic transmission"
APBA3,"GO:0007268, GO:0043086","chemical synaptic transmission, negative regulation of catalytic activity"
APBB1,"GO:0000122, GO:0006355, GO:0006939, GO:0006974, GO:0006974, GO:0007165, GO:0007409, GO:0010976, GO:0043065, GO:0045893, GO:0045944, GO:0050714, GO:1902807","negative regulation of transcription by RNA polymerase II, regulation of DNA-templated transcription, smooth muscle contraction, DNA damage response, DNA damage response, signal transduction, axonogenesis, positive regulation of neuron projection development, positive regulation of apoptotic process, positive regulation of DNA-templated transcription, positive regulation of transcription by RNA polymerase II, positive regulation of protein secretion, negative regulation of cell cycle G1/S phase transition"
APBB1IP,"GO:0007165, GO:0035556","signal transduction, intracellular signal transduction"
APBB2,"GO:0000122, GO:0006355, GO:0006939, GO:0035556, GO:0036438, GO:0045944, GO:0050808, GO:1901988","negative regulation of transcription by RNA polymerase II, regulation of DNA-templated transcription, smooth muscle contraction, intracellular signal transduction, maintenance of lens transparency, positive regulation of transcription by RNA polymerase II, synapse organization, negative regulation of cell cycle phase transition"
APBB3,"GO:0006355, GO:0050714","regulation of DNA-templated transcription, positive regulation of protein secretion"
APC,"GO:0000281, GO:0001708, GO:0003170, GO:0003203, GO:0006974, GO:0007026, GO:0007026, GO:0007026, GO:0007094, GO:0007155, GO:0007389, GO:0007399, GO:0008285, GO:0008285, GO:0008286, GO:0016055, GO:0016477, GO:0016477, GO:0030178, GO:0030335, GO:0031274, GO:0032886, GO:0043065, GO:0043161, GO:0045732, GO:0045732, GO:0045736, GO:0051988, GO:0051988, GO:0060632, GO:0065003, GO:0070830, GO:0090090, GO:0090090, GO:0090090, GO:0090090, GO:0090090, GO:0090090, GO:0090090, GO:0120162, GO:1902807, GO:1904781, GO:2000134","mitotic cytokinesis, cell fate specification, heart valve development, endocardial cushion morphogenesis, DNA damage response, negative regulation of microtubule depolymerization, negative regulation of microtubule depolymerization, negative regulation of microtubule depolymerization, mitotic spindle assembly checkpoint signaling, cell adhesion, pattern specification process, nervous system development, negative regulation of cell population proliferation, negative regulation of cell population proliferation, insulin receptor signaling pathway, Wnt signaling pathway, cell migration, cell migration, negative regulation of Wnt signaling pathway, positive regulation of cell migration, positive regulation of pseudopodium assembly, regulation of microtubule-based process, positive regulation of apoptotic process, proteasome-mediated ubiquitin-dependent protein catabolic process, positive regulation of protein catabolic process, positive regulation of protein catabolic process, negative regulation of cyclin-dependent protein serine/threonine kinase activity, regulation of attachment of spindle microtubules to kinetochore, regulation of attachment of spindle microtubules to kinetochore, regulation of microtubule-based movement, protein-containing complex assembly, bicellular tight junction assembly, negative regulation of canonical Wnt signaling pathway, negative regulation of canonical Wnt signaling pathway, negative regulation of canonical Wnt signaling pathway, negative regulation of canonical Wnt signaling pathway, negative regulation of canonical Wnt signaling pathway, negative regulation of canonical Wnt signaling pathway, negative regulation of canonical Wnt signaling pathway, positive regulation of cold-induced thermogenesis, negative regulation of cell cycle G1/S phase transition, positive regulation of protein localization to centrosome, negative regulation of G1/S transition of mitotic cell cycle"
APC2,"GO:0000226, GO:0001708, GO:0007026, GO:0007389, GO:0007399, GO:0016055, GO:0016477, GO:0030178, GO:0043161, GO:0090090, GO:0090090, GO:0090090, GO:0090090, GO:0090630","microtubule cytoskeleton organization, cell fate specification, negative regulation of microtubule depolymerization, pattern specification process, nervous system development, Wnt signaling pathway, cell migration, negative regulation of Wnt signaling pathway, proteasome-mediated ubiquitin-dependent protein catabolic process, negative regulation of canonical Wnt signaling pathway, negative regulation of canonical Wnt signaling pathway, negative regulation of canonical Wnt signaling pathway, negative regulation of canonical Wnt signaling pathway, activation of GTPase activity"
APCDD1,"GO:0001942, GO:0030178, GO:0030178, GO:0030178, GO:0042487","hair follicle development, negative regulation of Wnt signaling pathway, negative regulation of Wnt signaling pathway, negative regulation of Wnt signaling pathway, regulation of odontogenesis of dentin-containing tooth"
APCDD1L,GO:0030178,negative regulation of Wnt signaling pathway
APCS,"GO:0002674, GO:0006457, GO:0006953, GO:0006953, GO:0044871, GO:0045087, GO:0045087, GO:0045656, GO:0046597, GO:0048525, GO:0051131, GO:0061045, GO:1903019","negative regulation of acute inflammatory response, protein folding, acute-phase response, acute-phase response, negative regulation by host of viral glycoprotein metabolic process, innate immune response, innate immune response, negative regulation of monocyte differentiation, host-mediated suppression of symbiont invasion, negative regulation of viral process, chaperone-mediated protein complex assembly, negative regulation of wound healing, negative regulation of glycoprotein metabolic process"
APEH,"GO:0006415, GO:0006508, GO:0006508, GO:0050435","translational termination, proteolysis, proteolysis, amyloid-beta metabolic process"
APELA,"GO:0001570, GO:0007186, GO:0007492, GO:0007507, GO:0007507, GO:0007509, GO:0007512, GO:0035050, GO:0045766, GO:0045823, GO:0060183, GO:0060183, GO:0060183, GO:0060183, GO:0060674, GO:0060976, GO:0070374, GO:0090133, GO:0090134, GO:1901165, GO:1903589, GO:1904022","vasculogenesis, G protein-coupled receptor signaling pathway, endoderm development, heart development, heart development, mesoderm migration involved in gastrulation, adult heart development, embryonic heart tube development, positive regulation of angiogenesis, positive regulation of heart contraction, apelin receptor signaling pathway, apelin receptor signaling pathway, apelin receptor signaling pathway, apelin receptor signaling pathway, placenta blood vessel development, coronary vasculature development, positive regulation of ERK1 and ERK2 cascade, mesendoderm migration, cell migration involved in mesendoderm migration, positive regulation of trophoblast cell migration, positive regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis, positive regulation of G protein-coupled receptor internalization"
APEX1,"GO:0000723, GO:0006281, GO:0006281, GO:0006284, GO:0006284, GO:0006284, GO:0006287, GO:0006308, GO:0008626, GO:0042981, GO:0043488, GO:0044029, GO:0045892, GO:0045944, GO:0097698","telomere maintenance, DNA repair, DNA repair, base-excision repair, base-excision repair, base-excision repair, base-excision repair, gap-filling, DNA catabolic process, granzyme-mediated apoptotic signaling pathway, regulation of apoptotic process, regulation of mRNA stability, positive regulation of gene expression via chromosomal CpG island demethylation, negative regulation of DNA-templated transcription, positive regulation of transcription by RNA polymerase II, telomere maintenance via base-excision repair"
APEX2,"GO:0006281, GO:0006284","DNA repair, base-excision repair"
APH1A,"GO:0006508, GO:0006509, GO:0007219, GO:0007220, GO:0007220, GO:0007220, GO:0007220, GO:0007220, GO:0016485, GO:0016485, GO:0016485, GO:0016485, GO:0016485, GO:0031293, GO:0031293, GO:0034205, GO:0034205, GO:0034205, GO:0034205, GO:0042982, GO:0042987, GO:0042987, GO:0042987, GO:0042987","proteolysis, membrane protein ectodomain proteolysis, Notch signaling pathway, Notch receptor processing, Notch receptor processing, Notch receptor processing, Notch receptor processing, Notch receptor processing, protein processing, protein processing, protein processing, protein processing, protein processing, membrane protein intracellular domain proteolysis, membrane protein intracellular domain proteolysis, amyloid-beta formation, amyloid-beta formation, amyloid-beta formation, amyloid-beta formation, amyloid precursor protein metabolic process, amyloid precursor protein catabolic process, amyloid precursor protein catabolic process, amyloid precursor protein catabolic process, amyloid precursor protein catabolic process"
APH1B,"GO:0006508, GO:0007219, GO:0007220, GO:0007220, GO:0007220, GO:0016485, GO:0016485, GO:0016485, GO:0016485, GO:0016485, GO:0034205, GO:0034205, GO:0034205, GO:0042987, GO:0042987","proteolysis, Notch signaling pathway, Notch receptor processing, Notch receptor processing, Notch receptor processing, protein processing, protein processing, protein processing, protein processing, protein processing, amyloid-beta formation, amyloid-beta formation, amyloid-beta formation, amyloid precursor protein catabolic process, amyloid precursor protein catabolic process"
API5,"GO:0043066, GO:0043066, GO:0043066, GO:0043066, GO:0043066, GO:0043066","negative regulation of apoptotic process, negative regulation of apoptotic process, negative regulation of apoptotic process, negative regulation of apoptotic process, negative regulation of apoptotic process, negative regulation of apoptotic process"
APIP,"GO:0033353, GO:0033353, GO:0033353, GO:0043066, GO:0051289, GO:0070269, GO:0070372, GO:0070372","L-methionine cycle, L-methionine cycle, L-methionine cycle, negative regulation of apoptotic process, protein homotetramerization, pyroptotic inflammatory response, regulation of ERK1 and ERK2 cascade, regulation of ERK1 and ERK2 cascade"
APLF,"GO:0000012, GO:0006281, GO:0006282, GO:0006302, GO:0006302, GO:0006302, GO:0006303, GO:0006303, GO:0006457, GO:0006974, GO:0007566, GO:0007566, GO:0010717, GO:0010717, GO:0071168, GO:0140861","single strand break repair, DNA repair, regulation of DNA repair, double-strand break repair, double-strand break repair, double-strand break repair, double-strand break repair via nonhomologous end joining, double-strand break repair via nonhomologous end joining, protein folding, DNA damage response, embryo implantation, embryo implantation, regulation of epithelial to mesenchymal transition, regulation of epithelial to mesenchymal transition, protein localization to chromatin, DNA repair-dependent chromatin remodeling"
APLN,"GO:0006955, GO:0007165, GO:0007165, GO:0007595, GO:0010629, GO:0040037, GO:0042756, GO:0042756, GO:0045776, GO:0045776, GO:0045823, GO:0045823, GO:0060183, GO:0060183, GO:0060183, GO:0060976, GO:0060976, GO:1902895, GO:1904022, GO:1904022, GO:1904706, GO:1905564","immune response, signal transduction, signal transduction, lactation, negative regulation of gene expression, negative regulation of fibroblast growth factor receptor signaling pathway, drinking behavior, drinking behavior, negative regulation of blood pressure, negative regulation of blood pressure, positive regulation of heart contraction, positive regulation of heart contraction, apelin receptor signaling pathway, apelin receptor signaling pathway, apelin receptor signaling pathway, coronary vasculature development, coronary vasculature development, positive regulation of miRNA transcription, positive regulation of G protein-coupled receptor internalization, positive regulation of G protein-coupled receptor internalization, negative regulation of vascular associated smooth muscle cell proliferation, positive regulation of vascular endothelial cell proliferation"
APLNR,"GO:0001568, GO:0001570, GO:0001570, GO:0001944, GO:0001944, GO:0001947, GO:0001947, GO:0003171, GO:0003171, GO:0003272, GO:0003272, GO:0007186, GO:0007186, GO:0007186, GO:0007186, GO:0007193, GO:0007193, GO:0007507, GO:0007507, GO:0007512, GO:0010468, GO:0010468, GO:0010629, GO:0035886, GO:0035886, GO:0035904, GO:0035904, GO:0045766, GO:0050878, GO:0051281, GO:0060183, GO:0060183, GO:0060183, GO:0060412, GO:0060412, GO:0060841, GO:0060841, GO:0060976, GO:0060976, GO:1903243, GO:1903244, GO:1903589, GO:1903589, GO:1903596, GO:1904022","blood vessel development, vasculogenesis, vasculogenesis, vasculature development, vasculature development, heart looping, heart looping, atrioventricular valve development, atrioventricular valve development, endocardial cushion formation, endocardial cushion formation, G protein-coupled receptor signaling pathway, G protein-coupled receptor signaling pathway, G protein-coupled receptor signaling pathway, G protein-coupled receptor signaling pathway, adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway, adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway, heart development, heart development, adult heart development, regulation of gene expression, regulation of gene expression, negative regulation of gene expression, vascular associated smooth muscle cell differentiation, vascular associated smooth muscle cell differentiation, aorta development, aorta development, positive regulation of angiogenesis, regulation of body fluid levels, positive regulation of release of sequestered calcium ion into cytosol, apelin receptor signaling pathway, apelin receptor signaling pathway, apelin receptor signaling pathway, ventricular septum morphogenesis, ventricular septum morphogenesis, venous blood vessel development, venous blood vessel development, coronary vasculature development, coronary vasculature development, negative regulation of cardiac muscle hypertrophy in response to stress, positive regulation of cardiac muscle hypertrophy in response to stress, positive regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis, positive regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis, regulation of gap junction assembly, positive regulation of G protein-coupled receptor internalization"
APLP1,"GO:0007399, GO:0007399, GO:0007409, GO:0007417, GO:0009887, GO:0030198, GO:0030900, GO:0048513, GO:0071874, GO:0106072","nervous system development, nervous system development, axonogenesis, central nervous system development, animal organ morphogenesis, extracellular matrix organization, forebrain development, animal organ development, cellular response to norepinephrine stimulus, negative regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway"
APLP2,"GO:0007186, GO:0007409, GO:0007417","G protein-coupled receptor signaling pathway, axonogenesis, central nervous system development"
APMAP,None Found,None Found
